Id,Sold Price
47827,778956
47828,608695
47829,1013477
47830,1038046
47831,1359546
47832,1242308
47833,252334
47834,1233789
47835,525829
47836,686046
47837,794850
47838,434085
47839,974818
47840,1660412
47841,773016
47842,1373758
47843,1527168
47844,693641
47845,1354922
47846,709922
47847,1779525
47848,582272
47849,3013104
47850,720686
47851,1175138
47852,852157
47853,514368
47854,675936
47855,1425328
47856,676130
47857,543438
47858,663193
47859,591387
47860,1615460
47861,521871
47862,1007194
47863,1086381
47864,1352818
47865,630839
47866,1866536
47867,1423541
47868,595657
47869,3030460
47870,2299913
47871,802689
47872,1537728
47873,1467100
47874,2101426
47875,946234
47876,1884185
47877,439783
47878,2906599
47879,1178366
47880,1056418
47881,1363558
47882,676545
47883,626336
47884,962381
47885,2555159
47886,862318
47887,1311984
47888,1732776
47889,574706
47890,1395175
47891,1154329
47892,485708
47893,680675
47894,978667
47895,615781
47896,1517600
47897,869378
47898,920679
47899,843461
47900,970809
47901,6170687
47902,720446
47903,1189685
47904,642957
47905,631502
47906,723194
47907,580430
47908,933530
47909,1436424
47910,707104
47911,627780
47912,4027531
47913,17576420
47914,1871742
47915,675983
47916,1054503
47917,17468308
47918,925698
47919,1911910
47920,635053
47921,983813
47922,1401475
47923,955352
47924,2038094
47925,2453999
47926,1192218
47927,721301
47928,696709
47929,2225818
47930,679262
47931,927527
47932,1003490
47933,1264061
47934,1750561
47935,1281842
47936,1468730
47937,327202
47938,630414
47939,715904
47940,943147
47941,1103586
47942,618711
47943,1188566
47944,3182581
47945,786479
47946,817118
47947,869978
47948,766907
47949,603481
47950,611650
47951,656474
47952,1214927
47953,679690
47954,693404
47955,1154802
47956,689351
47957,342689
47958,1102919
47959,991712
47960,1038482
47961,3153631
47962,1421730
47963,767224
47964,860622
47965,704063
47966,591840
47967,761311
47968,669761
47969,776228
47970,3951279
47971,663882
47972,1279976
47973,1209857
47974,680835
47975,679259
47976,1797694
47977,3338772
47978,1876429
47979,610972
47980,823261
47981,1058482
47982,1025487
47983,1064223
47984,941143
47985,1099462
47986,637191
47987,920115
47988,580449
47989,1590186
47990,1180601
47991,897905
47992,4590574
47993,2079973
47994,746681
47995,997214
47996,1376569
47997,1130197
47998,1194586
47999,979810
48000,991692
48001,2163927
48002,749503
48003,872025
48004,1049890
48005,914270
48006,1108346
48007,1363976
48008,701487
48009,9008653
48010,661538
48011,759673
48012,657370
48013,2638328
48014,1240079
48015,1417903
48016,1559009
48017,583107
48018,2073679
48019,626418
48020,611517
48021,1399393
48022,19761520
48023,1509976
48024,948335
48025,2384656
48026,751636
48027,603909
48028,1963714
48029,642677
48030,820435
48031,1288473
48032,1134759
48033,2608418
48034,2526774
48035,538982
48036,1825241
48037,1380159
48038,759794
48039,1340371
48040,1037626
48041,1180074
48042,1374668
48043,735380
48044,745298
48045,622432
48046,787989
48047,639741
48048,1436248
48049,1427368
48050,1117859
48051,2745802
48052,820167
48053,1233233
48054,1753338
48055,1036697
48056,865906
48057,721826
48058,2289493
48059,592059
48060,889866
48061,3198463
48062,1010969
48063,972674
48064,827286
48065,2290549
48066,612218
48067,660806
48068,1031963
48069,1070065
48070,1195422
48071,773336
48072,1689693
48073,818880
48074,939248
48075,1760881
48076,271167
48077,1377703
48078,1434638
48079,669315
48080,397648
48081,1448630
48082,1761992
48083,803347
48084,1988360
48085,1230984
48086,863306
48087,3669022
48088,1387564
48089,738330
48090,796261
48091,950511
48092,570796
48093,959175
48094,16014089
48095,665023
48096,688786
48097,1541924
48098,1653033
48099,713539
48100,1251771
48101,1334094
48102,739404
48103,920590
48104,1134150
48105,1292205
48106,2344836
48107,1472621
48108,427268
48109,1989691
48110,1646969
48111,1120631
48112,2014655
48113,246033
48114,1663569
48115,2356802
48116,2428148
48117,608337
48118,919978
48119,1238437
48120,1452051
48121,776761
48122,738484
48123,682303
48124,567069
48125,1547352
48126,331452
48127,863538
48128,936492
48129,1147313
48130,2244412
48131,772252
48132,1638365
48133,2225652
48134,288222
48135,1362319
48136,1308036
48137,549217
48138,600261
48139,809539
48140,700622
48141,1210100
48142,1215246
48143,698439
48144,864605
48145,1440858
48146,1272052
48147,918208
48148,858712
48149,2481177
48150,1441012
48151,1599081
48152,1405808
48153,865273
48154,1143867
48155,784924
48156,873748
48157,1529156
48158,1346071
48159,1095084
48160,1519099
48161,2113093
48162,757970
48163,1628563
48164,1264610
48165,3453035
48166,748979
48167,730871
48168,740349
48169,1243865
48170,1097509
48171,2607175
48172,1716934
48173,621464
48174,1061702
48175,1833829
48176,2046435
48177,803048
48178,779457
48179,567055
48180,1604790
48181,5090242
48182,889774
48183,629827
48184,1619954
48185,562817
48186,1742994
48187,2574640
48188,757037
48189,691519
48190,786963
48191,339705
48192,603523
48193,685486
48194,836672
48195,635917
48196,726368
48197,1390751
48198,2552699
48199,1997951
48200,684796
48201,723541
48202,1118757
48203,1408731
48204,1565838
48205,668019
48206,1147730
48207,1693584
48208,666719
48209,2198307
48210,370418
48211,1025847
48212,779718
48213,1540913
48214,539530
48215,695314
48216,613930
48217,1005832
48218,772058
48219,788706
48220,313794
48221,802837
48222,700071
48223,689518
48224,725653
48225,1455341
48226,882965
48227,929776
48228,637301
48229,1088312
48230,898596
48231,1668445
48232,975237
48233,1070753
48234,1194793
48235,942134
48236,569384
48237,1736454
48238,844421
48239,701018
48240,1674145
48241,1283301
48242,677981
48243,849746
48244,1986614
48245,892312
48246,228168
48247,1722114
48248,4886176
48249,1092849
48250,688840
48251,1238582
48252,998450
48253,1465842
48254,989917
48255,1127099
48256,934692
48257,558466
48258,776003
48259,1102309
48260,447833
48261,2239067
48262,848197
48263,1838257
48264,1338204
48265,831182
48266,1380746
48267,759663
48268,2291953
48269,1018161
48270,406506
48271,1154780
48272,699151
48273,906762
48274,1361129
48275,1300297
48276,908187
48277,1440325
48278,1363398
48279,986556
48280,666211
48281,963769
48282,1020689
48283,625142
48284,1379050
48285,1709536
48286,1670786
48287,1351426
48288,1751834
48289,1552433
48290,1254210
48291,792268
48292,3581624
48293,1148837
48294,2173083
48295,2909082
48296,537658
48297,1716069
48298,1011921
48299,1643982
48300,969997
48301,1515601
48302,709832
48303,1979440
48304,1720224
48305,1313400
48306,1685585
48307,1318832
48308,5105757
48309,1399716
48310,1032330
48311,1132293
48312,4516065
48313,736946
48314,1335155
48315,888302
48316,1520735
48317,1873795
48318,561416
48319,750845
48320,1699262
48321,1072755
48322,882546
48323,963710
48324,1596157
48325,689208
48326,857973
48327,649573
48328,3936954
48329,737220
48330,1226174
48331,5860014
48332,1386822
48333,1589248
48334,798862
48335,4594193
48336,1144922
48337,2034896
48338,639965
48339,3876558
48340,1274300
48341,740674
48342,624734
48343,2179752
48344,833286
48345,741133
48346,587678
48347,936182
48348,1357934
48349,5247606
48350,754976
48351,705734
48352,697202
48353,658232
48354,1164902
48355,1373745
48356,1261548
48357,559376
48358,951734
48359,831088
48360,3137786
48361,3584842
48362,772192
48363,656088
48364,1677985
48365,2915856
48366,1685441
48367,777457
48368,710228
48369,1455424
48370,920627
48371,810266
48372,2228200
48373,3770536
48374,854114
48375,1389034
48376,211452
48377,1354158
48378,1045849
48379,926497
48380,2464034
48381,2147353
48382,1001101
48383,2504876
48384,1883939
48385,1253184
48386,663038
48387,655513
48388,1079161
48389,593445
48390,1516208
48391,1105737
48392,1068358
48393,636869
48394,1470496
48395,1596501
48396,662461
48397,1556571
48398,1805738
48399,1001227
48400,2005992
48401,650483
48402,1392648
48403,730440
48404,1647571
48405,835185
48406,1335899
48407,1571247
48408,733391
48409,2101206
48410,2665343
48411,1020615
48412,791353
48413,2519805
48414,905724
48415,1585805
48416,1360039
48417,593656
48418,1907826
48419,994865
48420,702468
48421,630472
48422,1169301
48423,1235050
48424,3588931
48425,1739457
48426,1769046
48427,761324
48428,1350650
48429,2876470
48430,775618
48431,1175747
48432,1178082
48433,1521870
48434,706442
48435,727699
48436,825855
48437,738649
48438,921110
48439,685205
48440,1363056
48441,890774
48442,612274
48443,1072159
48444,681512
48445,781962
48446,908406
48447,1370055
48448,852921
48449,1144365
48450,930560
48451,564104
48452,1052084
48453,672720
48454,669855
48455,704419
48456,844843
48457,656571
48458,910047
48459,1261619
48460,1115265
48461,457790
48462,774653
48463,1244492
48464,1423505
48465,740797
48466,618779
48467,1491637
48468,698567
48469,1306588
48470,1005566
48471,1089882
48472,638357
48473,3984173
48474,1596128
48475,2346066
48476,1308029
48477,1636830
48478,1645778
48479,1233698
48480,530189
48481,1845094
48482,912528
48483,989291
48484,1764282
48485,1146231
48486,682123
48487,1244659
48488,5609016
48489,3952167
48490,1589290
48491,2778445
48492,1027456
48493,3876572
48494,1037616
48495,661133
48496,2655331
48497,784041
48498,906492
48499,2200488
48500,1583862
48501,705283
48502,793894
48503,268297
48504,1338719
48505,719502
48506,611207
48507,606288
48508,935736
48509,636442
48510,666150
48511,1265812
48512,1021125
48513,1722219
48514,986414
48515,711098
48516,669888
48517,787689
48518,722767
48519,774756
48520,1193696
48521,1236556
48522,760025
48523,1034302
48524,915153
48525,625296
48526,1481346
48527,1417679
48528,397691
48529,888491
48530,1213791
48531,1057839
48532,1761123
48533,629214
48534,1545501
48535,2213992
48536,1039155
48537,2640568
48538,1522741
48539,1112044
48540,2914016
48541,388205
48542,1234782
48543,984783
48544,780856
48545,747989
48546,1442694
48547,909062
48548,215285
48549,822560
48550,1322763
48551,2606548
48552,1292573
48553,1449364
48554,675439
48555,198294
48556,1426225
48557,950912
48558,2982774
48559,1183808
48560,956924
48561,672721
48562,1523037
48563,817764
48564,564081
48565,2065928
48566,858715
48567,744380
48568,715061
48569,1807642
48570,583329
48571,635948
48572,768899
48573,1781811
48574,1856232
48575,1441849
48576,903774
48577,1042938
48578,696058
48579,809027
48580,2410603
48581,2632040
48582,361033
48583,723394
48584,854422
48585,2905633
48586,823390
48587,764140
48588,810428
48589,913508
48590,1661189
48591,1162578
48592,822197
48593,1284711
48594,464511
48595,683189
48596,1894699
48597,628343
48598,843061
48599,676819
48600,1934519
48601,759114
48602,1218235
48603,362638
48604,646043
48605,349933
48606,1805186
48607,702266
48608,880446
48609,4708416
48610,1003317
48611,1370067
48612,685341
48613,1493286
48614,442319
48615,903270
48616,1333084
48617,888439
48618,5901312
48619,778796
48620,1598237
48621,957023
48622,1194431
48623,1112770
48624,1194877
48625,1474561
48626,910170
48627,1020936
48628,1362186
48629,755218
48630,1601524
48631,1128058
48632,1426053
48633,2027640
48634,791360
48635,1150603
48636,719968
48637,1128282
48638,760800
48639,1243629
48640,882886
48641,561051
48642,1680813
48643,5077809
48644,1501602
48645,2159150
48646,949934
48647,486334
48648,827265
48649,3511464
48650,774349
48651,976472
48652,2691243
48653,741041
48654,315933
48655,3050104
48656,862590
48657,568818
48658,817587
48659,1492258
48660,640593
48661,399202
48662,835663
48663,1201264
48664,933417
48665,1019643
48666,1062420
48667,997119
48668,2546203
48669,833676
48670,1463236
48671,1435386
48672,1579306
48673,1582685
48674,892353
48675,1741516
48676,1828017
48677,912118
48678,635644
48679,887329
48680,2153576
48681,1336918
48682,1312559
48683,886885
48684,647828
48685,1885366
48686,743468
48687,1477868
48688,1041779
48689,2234578
48690,711430
48691,1428124
48692,632364
48693,1049184
48694,1467981
48695,2388171
48696,740280
48697,1145736
48698,1523055
48699,1299213
48700,538802
48701,1420725
48702,1040240
48703,1058748
48704,962633
48705,1446776
48706,755240
48707,2662944
48708,1425127
48709,654290
48710,804513
48711,1169626
48712,812711
48713,2393225
48714,980548
48715,2356273
48716,2328599
48717,1488491
48718,724017
48719,1393786
48720,672676
48721,1630122
48722,1938921
48723,2949451
48724,1259093
48725,634776
48726,617924
48727,1077057
48728,1784798
48729,799735
48730,1061168
48731,692425
48732,973987
48733,482917
48734,1649932
48735,696301
48736,1396254
48737,873950
48738,896007
48739,774812
48740,497341
48741,921575
48742,546092
48743,241198
48744,1866095
48745,1339671
48746,1426257
48747,1093989
48748,1122293
48749,613575
48750,1693259
48751,1359844
48752,1801058
48753,961720
48754,941091
48755,1196536
48756,629983
48757,1616194
48758,3554381
48759,1562417
48760,934124
48761,1095852
48762,1111376
48763,656733
48764,1709216
48765,599376
48766,548069
48767,1295172
48768,635803
48769,1088044
48770,3128713
48771,809773
48772,775888
48773,643902
48774,1522646
48775,1048504
48776,485708
48777,337372
48778,617869
48779,741184
48780,964540
48781,598980
48782,1948166
48783,2442580
48784,965670
48785,1369840
48786,1388671
48787,537180
48788,1052758
48789,633775
48790,2092762
48791,810106
48792,1196216
48793,1410120
48794,7091970
48795,1025371
48796,791463
48797,782409
48798,942921
48799,1148141
48800,677309
48801,1775471
48802,1719408
48803,2756698
48804,1443943
48805,791254
48806,575338
48807,1272226
48808,660894
48809,511503
48810,627436
48811,1021889
48812,1144374
48813,855330
48814,549076
48815,1178873
48816,1017046
48817,945304
48818,866793
48819,885990
48820,887453
48821,1728013
48822,1379980
48823,1185336
48824,704937
48825,818220
48826,902705
48827,582607
48828,694530
48829,242240
48830,961619
48831,1352432
48832,2394491
48833,971540
48834,666378
48835,1727550
48836,1375924
48837,772745
48838,614193
48839,972731
48840,998489
48841,986703
48842,973141
48843,2000196
48844,700460
48845,750842
48846,769350
48847,1245327
48848,2787903
48849,1336877
48850,1729043
48851,550134
48852,791532
48853,3358726
48854,858051
48855,706580
48856,225515
48857,1230870
48858,689300
48859,1492475
48860,857948
48861,924086
48862,1250026
48863,1975075
48864,1649465
48865,1578900
48866,1007435
48867,4073097
48868,2478415
48869,903269
48870,1454129
48871,1599827
48872,884325
48873,1087168
48874,792007
48875,566546
48876,849440
48877,5661705
48878,754643
48879,1624082
48880,1692781
48881,1703553
48882,923657
48883,2488567
48884,1534687
48885,716943
48886,1511295
48887,2811353
48888,2943935
48889,6850843
48890,991661
48891,768510
48892,2028565
48893,1318639
48894,1097874
48895,689156
48896,1379731
48897,620508
48898,3510804
48899,646181
48900,1402717
48901,1209420
48902,1309346
48903,636833
48904,679382
48905,1033396
48906,2068246
48907,1217200
48908,1140359
48909,528870
48910,621622
48911,1158849
48912,1055223
48913,720597
48914,583634
48915,1896337
48916,784732
48917,864320
48918,878647
48919,1204140
48920,508972
48921,1227428
48922,2054260
48923,2257720
48924,2313951
48925,1480951
48926,618109
48927,705234
48928,2097409
48929,1107576
48930,1318831
48931,900976
48932,1097862
48933,690807
48934,635197
48935,1788569
48936,610800
48937,1077197
48938,541346
48939,749490
48940,1248025
48941,1003236
48942,1302140
48943,467745
48944,731953
48945,3126572
48946,4348026
48947,1289124
48948,1751138
48949,753051
48950,2007335
48951,1424628
48952,724557
48953,672383
48954,678538
48955,1408245
48956,2156448
48957,1751764
48958,1489148
48959,1911189
48960,853785
48961,1283049
48962,343534
48963,3238611
48964,1216083
48965,318944
48966,694458
48967,2393221
48968,1265777
48969,1236257
48970,1315526
48971,891953
48972,1641482
48973,644607
48974,720050
48975,1257054
48976,622611
48977,820558
48978,1284903
48979,835161
48980,949174
48981,778491
48982,630985
48983,729738
48984,686445
48985,15547179
48986,1703948
48987,1098224
48988,672927
48989,3622297
48990,6333589
48991,707689
48992,570492
48993,903886
48994,1561495
48995,1219814
48996,1539088
48997,780701
48998,2064004
48999,1268381
49000,1399912
49001,1072203
49002,996980
49003,855601
49004,628271
49005,478433
49006,583640
49007,1264377
49008,1691000
49009,750065
49010,861751
49011,812186
49012,858710
49013,1470137
49014,1137731
49015,611107
49016,1587850
49017,704190
49018,1954000
49019,235190
49020,1496479
49021,2446989
49022,894665
49023,913006
49024,2104423
49025,2497182
49026,1595935
49027,986953
49028,761034
49029,1012641
49030,1477138
49031,1350027
49032,630545
49033,1905645
49034,2701530
49035,1126388
49036,715950
49037,1521060
49038,745900
49039,869599
49040,625400
49041,3395502
49042,1843154
49043,1398978
49044,8110670
49045,859401
49046,601270
49047,754533
49048,791457
49049,953208
49050,640365
49051,262137
49052,1348237
49053,23888108
49054,688915
49055,2157840
49056,804038
49057,895086
49058,251134
49059,1169970
49060,735538
49061,2724591
49062,586926
49063,1912493
49064,903803
49065,811768
49066,1630376
49067,766167
49068,718626
49069,1618237
49070,784683
49071,603016
49072,397491
49073,1172846
49074,747165
49075,1498288
49076,742540
49077,1751607
49078,135174
49079,1591430
49080,1403041
49081,688082
49082,1461856
49083,1335540
49084,20098580
49085,801962
49086,2492050
49087,801284
49088,710440
49089,250118
49090,1211985
49091,1082831
49092,2663638
49093,3221153
49094,908359
49095,1897633
49096,556165
49097,1842440
49098,3189303
49099,1447765
49100,894919
49101,544711
49102,1415824
49103,1170893
49104,692933
49105,869791
49106,1340271
49107,1018366
49108,805442
49109,938562
49110,1444742
49111,1169156
49112,680912
49113,301523
49114,348623
49115,710670
49116,771764
49117,1232696
49118,675331
49119,1198548
49120,1304728
49121,1839071
49122,975893
49123,1009942
49124,805271
49125,1262641
49126,1594460
49127,1541318
49128,1000599
49129,1955361
49130,2005536
49131,1045555
49132,994844
49133,637158
49134,747462
49135,689098
49136,1513306
49137,615633
49138,1154545
49139,900780
49140,477247
49141,1817801
49142,592061
49143,2023807
49144,644766
49145,866009
49146,851905
49147,708164
49148,1867426
49149,1102586
49150,713012
49151,2098863
49152,741075
49153,1145255
49154,680898
49155,598754
49156,771782
49157,1098525
49158,2277205
49159,636155
49160,1387984
49161,1088450
49162,667372
49163,863647
49164,2148779
49165,710198
49166,1044969
49167,709212
49168,1436400
49169,713592
49170,1041087
49171,812529
49172,1828611
49173,620299
49174,464704
49175,1293453
49176,1436713
49177,1332550
49178,610665
49179,825528
49180,532992
49181,855326
49182,844175
49183,682120
49184,567601
49185,1281340
49186,3603366
49187,1252919
49188,947614
49189,2294595
49190,926683
49191,5073591
49192,1183158
49193,2091292
49194,726637
49195,613418
49196,798674
49197,666925
49198,678484
49199,685732
49200,3029419
49201,569504
49202,980313
49203,695857
49204,1371549
49205,701210
49206,683311
49207,651237
49208,675901
49209,1151068
49210,1416680
49211,413180
49212,1710034
49213,1063815
49214,658126
49215,2028028
49216,922597
49217,682596
49218,648343
49219,976211
49220,3253986
49221,889266
49222,2374497
49223,1870092
49224,602528
49225,1164091
49226,718774
49227,1360996
49228,846416
49229,864862
49230,1057788
49231,1001598
49232,653805
49233,1631726
49234,669862
49235,569263
49236,3990964
49237,858255
49238,911478
49239,633142
49240,336747
49241,890593
49242,1832567
49243,1026751
49244,1898386
49245,658893
49246,725644
49247,726363
49248,1037529
49249,2116866
49250,820940
49251,949004
49252,1695076
49253,1099885
49254,1805288
49255,1582942
49256,2041521
49257,513748
49258,2263953
49259,1145880
49260,913871
49261,868086
49262,1101736
49263,2783882
49264,2103992
49265,757626
49266,914472
49267,1011853
49268,752705
49269,1102487
49270,1059417
49271,741614
49272,1168853
49273,1886496
49274,1007264
49275,616668
49276,758418
49277,656966
49278,848510
49279,1108435
49280,1329832
49281,2062739
49282,1079497
49283,898607
49284,654698
49285,2309057
49286,773445
49287,784623
49288,1806276
49289,1140659
49290,1236434
49291,1250840
49292,1761113
49293,1996213
49294,643507
49295,1514529
49296,1637850
49297,843196
49298,493564
49299,784372
49300,1944593
49301,1287340
49302,565855
49303,731478
49304,1024419
49305,287194
49306,677094
49307,3119340
49308,541717
49309,1317791
49310,909081
49311,753517
49312,1366764
49313,2107674
49314,631669
49315,3220429
49316,693538
49317,1683679
49318,5395699
49319,787428
49320,638190
49321,781296
49322,832862
49323,610722
49324,3489458
49325,196956
49326,943073
49327,659745
49328,788802
49329,1834694
49330,1635154
49331,556454
49332,1160375
49333,1738827
49334,1307998
49335,1126354
49336,840497
49337,1705099
49338,1328712
49339,1480695
49340,1728549
49341,774236
49342,932409
49343,1125039
49344,740447
49345,555733
49346,2061434
49347,1397845
49348,370757
49349,823423
49350,1448687
49351,1355399
49352,628866
49353,456626
49354,1710743
49355,4952822
49356,657707
49357,741725
49358,769849
49359,1672549
49360,753313
49361,1326725
49362,1634284
49363,1082420
49364,1351278
49365,733620
49366,724863
49367,561948
49368,837945
49369,906914
49370,3638189
49371,476551
49372,889992
49373,659658
49374,1459304
49375,1073875
49376,694976
49377,1548243
49378,1619397
49379,603826
49380,524383
49381,1089592
49382,876952
49383,1035472
49384,687368
49385,1439753
49386,2131241
49387,897154
49388,1555888
49389,512727
49390,3445703
49391,1378921
49392,1558387
49393,970265
49394,1166875
49395,1023039
49396,723868
49397,919494
49398,3200245
49399,1560880
49400,1729790
49401,3227841
49402,580643
49403,1249476
49404,1899925
49405,931267
49406,731697
49407,551681
49408,1020287
49409,1225538
49410,735929
49411,2134049
49412,1222870
49413,1039798
49414,1505274
49415,1088573
49416,671438
49417,1064966
49418,7258277
49419,2241261
49420,836570
49421,655537
49422,701600
49423,974371
49424,849477
49425,2420551
49426,884397
49427,1192573
49428,730637
49429,754029
49430,1034477
49431,987758
49432,1239464
49433,4046361
49434,773640
49435,1102437
49436,991707
49437,1178195
49438,1436957
49439,772573
49440,4577208
49441,5017350
49442,2761935
49443,282380
49444,1786041
49445,1400708
49446,980739
49447,1042732
49448,1949222
49449,912776
49450,920627
49451,861527
49452,964301
49453,591747
49454,995210
49455,799506
49456,892305
49457,1528723
49458,1534648
49459,1167181
49460,1247048
49461,1362776
49462,2299709
49463,857562
49464,1066093
49465,869968
49466,1309406
49467,867698
49468,1393728
49469,583327
49470,2128977
49471,1868311
49472,6207110
49473,1536347
49474,2069324
49475,1140999
49476,1284250
49477,1956911
49478,1781986
49479,1170488
49480,27284320
49481,1943089
49482,1264962
49483,1290987
49484,1736818
49485,721357
49486,860698
49487,1438167
49488,566768
49489,799907
49490,1140355
49491,1256000
49492,1162291
49493,621989
49494,1477216
49495,951815
49496,4707066
49497,1501706
49498,668619
49499,796411
49500,1029557
49501,743081
49502,908351
49503,943641
49504,1090611
49505,1406185
49506,1931428
49507,700961
49508,623687
49509,812375
49510,1081050
49511,977125
49512,1563758
49513,1090259
49514,1189396
49515,987820
49516,1517391
49517,1675167
49518,1808651
49519,1068755
49520,1450896
49521,2195963
49522,912549
49523,288130
49524,4737653
49525,575719
49526,910099
49527,892585
49528,1012241
49529,748431
49530,668960
49531,634154
49532,946612
49533,1015058
49534,680138
49535,2720954
49536,618190
49537,632685
49538,1412210
49539,697372
49540,11728788
49541,1479615
49542,1493072
49543,951979
49544,707380
49545,773452
49546,749317
49547,681621
49548,633032
49549,702392
49550,1412414
49551,1177647
49552,6665675
49553,417794
49554,6078866
49555,3030741
49556,913861
49557,1183699
49558,804610
49559,581944
49560,1439753
49561,1223715
49562,829582
49563,595561
49564,912666
49565,717893
49566,1387558
49567,957057
49568,1165042
49569,1214979
49570,2043305
49571,3120783
49572,2646345
49573,429184
49574,1801351
49575,1007476
49576,1379612
49577,2088728
49578,1116360
49579,733873
49580,904160
49581,480569
49582,834640
49583,1952949
